Start Location Name,End Location Name
"234,wasa road,west shewrapara,dhaka 1216",kazipara metro station
banani dohs,banani graveyard
banani dohs,"block j,basundhara r/a"
banani dohs,"boithok,banani"
banani dohs,dhaka new market
banani dohs,gulshan 1
banani dohs,kolabagan
banani dohs,lalbagh fort
banani dohs,mohakhali dohs
banani dohs,"sultan's dine,gulshan branch"
banani dohs,tejgaon
bashundhara r/a,ashkona
bashundhara r/a,banani graveyard
bashundhara r/a,dohs baridhara
bashundhara r/a,dohs baridhara
bashundhara r/a,hotel suite palace
bashundhara r/a,kuril flyover
bashundhara r/a,nikunja 1
bashundhara r/a,sheikh russel krira chakra ltd
bashundhara r/a,shkh russel krira chakra ltd
dhanmondi 15 bus stand,agargaon circle
dhanmondi 15 bus stand,banani
dhanmondi 15 bus stand,bangladesh air force museum
dhanmondi 15 bus stand,dhanmondi ideal school
dhanmondi 15 bus stand,gandaria rail station
dhanmondi 15 bus stand,"hazaribag, dhaka"
dhanmondi 15 bus stand,katabon
dhanmondi 15 bus stand,mirpur 1
dhanmondi 15 bus stand,mirpur-1
dhanmondi 15 bus stand,"sultan's dine, dhanmondi branch"
dhanmondi 15 bus stand,tejkunipara
dhanmondi 27 no bus stop,baitul mukarram national mosque
dhanmondi 27 no bus stop,baitul mukarram national mosquebaitul mukarram national mosque
dhanmondi 27 no bus stop,east kazipara
dhanmondi 27 no bus stop,jigatola
dhanmondi 27 no bus stop,kalabagan
dhanmondi 27 no bus stop,kalabaganv
dhanmondi 27 no bus stop,kallyanpur
dhanmondi 27 no bus stop,kathalbagan bazar
dhanmondi 27 no bus stop,mirpur 11
dhanmondi 27 no bus stop,"square hospital, panthapath,"
dhanmondi 27 no bus stop,"square hospital, panthapath,	1"
dhanmondi 27 no bus stop,taltola
dhanmondi 27 no bus stop,tsc circle
dhanmondi 27 no bus stop,kathalbagan bazar
dhanmondi 27 no bus stop,jigatola
dhk metro ga,nilkhet rd
jatrabari mor,arambagh
jatrabari mor,azimpur
jatrabari mor,bijoy nagar water tank
jatrabari mor,dhaka college
jatrabari mor,gulistan underground market
jatrabari mor,karatitola
jatrabari mor,"karatitola,"
jatrabari mor,"mugda medical college and hospital,"
jatrabari mor,narinda
jatrabari mor,science lab over brg
jatrabari mor,wari
kamlapur,arambagh
kamlapur,dhanmondi 27 no bus stop
kamlapur,gulshan 1
kamlapur,kakrail
kamlapur,kalabagan
kamlapur,mohammadpur bus stand
kamlapur,naya paltan
kamlapur,rajarbagh police lines
kamlapur,ramna
kamlapur,tsc circle
kolabagan,azimpur bus stand
kolabagan,bashabo
kolabagan,gabtoli
kolabagan,gandaria rail station
kolabagan,green life medical college hospital
kolabagan,hazaribagh
kolabagan,jatrabari mor
kolabagan,jigatola
kolabagan,motalib plaza
kolabagan,nobodoy housing society
kolabagan,tt para bus stand
mirpur -10,agargaon circle
mirpur -10,dhaka new market
mirpur -10,"geneva camp,dhaka"
mirpur -10,kallyanpur
mirpur -10,kazipara metro station
mirpur -10,nilkhet rd
mirpur -10,science lab over brg
mirpur -10,sher-e-bangla national cricket stadium
mirpur -10,shewrapara metro station
mirpur -10,shia jame masjid
mirpur -10,shishu mela footover bridge
mohammadpur bus stand,azimpur bus stand
mohammadpur bus stand,banani
mohammadpur bus stand,bashundhara city shopping complex
mohammadpur bus stand,dhanmondi - 15 bus stand
mohammadpur bus stand,karwan bazar
mohammadpur bus stand,"lalbagh fort, lalbagh road, dhaka"
mohammadpur bus stand,mirpur 10
mohammadpur bus stand,mirpur 11
mohammadpur bus stand,mohammadpur town hall market
mohammadpur bus stand,motijheel
mohammadpur bus stand,square hospital
tsc circle,dhaka uddan housing
tsc circle,dhanmondi 15 bus stand
tsc circle,kaptan bazar
tsc circle,katabon
tsc circle,kazipara metro station
tsc circle,lab aid hospital
tsc circle,mohammadpur bus stand
tsc circle,mugda medical college and hospital
tsc circle,mugga medical college and hospital
tsc circle,nilkhet rd
tsc circle,"shahid nagar,dhaka"
